Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP-TH_L5.8-W3.6-P5.0-D0.6,1,100nF,C5632427
GND,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,Motor GND,
Q1,TO-92-3_L4.8-W3.7-P2.54-R,1,2N2222A,C5330385
"R1, R2",RES-TH_BD2.3-L6.5-P10.50-D0.5,2,4.7KΩ,C119339
"SW1, SW2, SW3",SW-TH_4P-L4.5-W4.5-P3.00-LS4.8,3,SW_Push,
TEMP,TO-92-3_L4.8-W3.7-P1.27-L,1,MY18B20L,C5259249
TP1,TestPoint_Pad_D2.0mm,1,VBAT-SMD,
TP2,TestPoint_Pad_D2.0mm,1,GND-SMD,
U1,XIAO-ESP32-C6-DIP,1,XIAO-ESP32-C6-DIP,
U2,OLED-TH_L27.8-W27.2-P2.54_C9900033791,1,HS96L03W2C03,C5248080
VCC,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,Motor VCC,
